abandon,…を捨てる
courtesy,礼儀
cousin,いとこ
cover,…の範囲をカバーする
coward,臆病者
crack,ひび
crack,…をこじ開ける
crater,地面の穴
create,…を生み出す
creature,生物
credit,信用
creed,信条
cricket,コオロギ
crime,犯罪
crisis,危機
critic,評論家
critical,物事を批評できる
criticism,批判
criticize,…を批判する
crop,作物
crucial,極めて重要な
crude,天然のままの
cruel,残酷な
cuisine,料理
cultivate,…を育む
cultural,文化の
culture,文化
cunning,ずる賢い
curb ,道路の縁（石）
curb ,…を抑制する
cure,…を治す
curiosity,好奇心
curious,好奇心旺盛な
currency,通貨
current,現行の
curse,ののしる
custody,養育権
custom,慣習
customer,客
cut ,削減
dad,パパ
damage,損害
danger,危険
dare,ずうずしく…する
daring,大胆な
date,日付
dawn,夜明け
dead,死んだ
deadline,締め切り
deaf,耳が聞こえない
deal,取引
death,死
debt,負債
debut,デビュー
decade,10年
deceive,…をだます
decent,まともな
decide,…を決める
decision,決定
decisive,勝敗を決する
declare,…を宣言する
decline,低下
decline,…を丁重に断る
decrease,減少する
dedicated,打ち込んでいる
deed,行い
deeply,深く
defeat,…を打ち負かす
defective,欠陥がある
defend,…を守る
defendant,被告人
deficit,赤字
define,…を定義する
definition,定義
defy,…に背く
degree,学位，度
delay,…を遅らせる
delegate,代表者
deliberate,…を審議する
deliberately,わざと
delicate,繊細な
delicious,おいしい
delight,大喜び
delighted,とても嬉しい
deliver,（演説を）行う，…を配達する
delivery,配達
delta,三角州
demand ,需要
demand ,…を要求する
democracy,民主主義
demonstrate,…を実演する
denounce,…を非難する
dense,濃い
densely,密集して
dentist,歯医者
deny,…を否定する
department,部，課
depend,依存する
deposit,預金
depressed,ひどく落胆した
deprive,…から奪い去る
depth,深み
deputy,代理
derive,…を引き出す
describe,…を（説明的に）述べる
desert,…を（見）捨てる
deserve,…に値する
design,…を意図する
desirable,望ましい
desire,…を望む
despair,絶望
desperate,必死の
despise,…を軽蔑する
despite,…にもかかわらず
destiny,運命
destroy,…を破壊する
destruction,破壊
detail,詳細
detective,探偵，刑事
determine,…を決定する
determined,決意した
detest,…をひどく嫌う
devastate,…を徹底的に破壊する
develop,…を発達させる
developed,発達した
developing,発展途上の
development,開発
device,装置
devil,悪魔
devise,…を考案する
devote,…を捧げる
devout,信仰心の厚い
diagram,図形
dialect,方言
diaper,おむつ
dictator,独裁者
Diet (the ～ ),国会
differ,異なる
difference,違い
diligent,勤勉な
diligently,勤勉に
diplomat,外交官
direction,方向
director,映画監督
disability,身体的障害
disabled,体の不自由な
disappear,消える
disappointed,落胆した
disaster,災害
discipline,しつけ
discouragement,落胆
discover,…を発見する
discriminate,差別する
discuss,…を議論する
disease,病気
disgusting,嫌悪感を与える
dishonest,不誠実な
dislike,…を嫌悪する
dismal,憂鬱な
dismay,ショック
dismiss,…を解雇する
disposal,処分
disposition,性格
dispute,争い
dissatisfaction,不満
distance,遠くの場所
distant,遠い
distinguish,区別する
distinguished,高名な
distract,…をそらす
distress,苦悩
distribution,流通
district,区域
disturb,…の休息を邪魔する
divide,…を分ける
division,部課
divorce,離婚
dollar,ドル
domestic,国内の
dominant,支配的な
donate,…を寄付する
double ,２倍になる
double ,二重の
doubt,…を疑う
doubt,疑い
dozen,ダース
drag ,…を引きずる
drain,…を排水する
dramatically,劇的に
drawer,引き出し
drip,したたる
drive,…を～にする
drought,干ばつ
drug,麻薬
drugstore,ドラッグストア
drunk,酔った
drunken,酔った
due,到着予定で
dull,鈍い
dumb,口がきけない
dump truck,ダンプカー
during,…の間に
dusk,夕暮れ時
duty,任務
dweller,住人
dying,死にかけた
,
,
e-mail,メール
eager,熱心な
earn,（金・生計を）得る
earner,稼ぐ人
earnest,生真面目な
Earth,地球
earthquake,地震
ease,…を和らげる
eccentric,風変わりな
ecology,生態
economic,経済の
economics,経済学
economist,経済学者
economy,経済
edge,端
editorial,社説
education,教育
educational,教育の
effect,効果
effective,効果的な
efficiency,効率
effort,努力
elaborate,手が込んだ
elbow,肘
elder,年上の
elderly,年配の
elect,…を選出する
election,選挙
electric,電気の
electrical,電気の
electricity,電気
electronic,電子の
element,要素
elementary,初級の
eligible,適格の
eliminate,…を取り除く
elite,エリートの
else,他の
embarrassed,恥ずかしい
embrace,…を抱きしめる
emerge,現れる
emergency,緊急
emotion,感情
emotional,精神的な
emphasis,強調
emphasize,…を強調する
employee,従業員
employer,雇用者
empty,空の
empty-handed,手ぶらで
encounter,…に出くわす
encourage,…を励ます
endanger,…を危険・危機にさらす
endeavor,懸命な努力
endow,…に授ける
endure,…に耐える
enemy,敵
energy,エネルギー
engaged,婚約している，手がふさがって
engineer,技術者
engineering,工学
enormous,巨大な
ensure,確実に…となるようにする
enter,…に入る
enterprise,企業
entertain,…を楽しませる
enthusiasm,熱心
entire,…全体
entirely,完全に
entitle,…に資格を与える
entrance,入ること
envious,うらやましい
environment,環境
environmental,環境の
envy,嫉妬
epidemic,伝染病
episode,（連続番組などの）１回分
epoch-making,画期的な
equal ,等しい
equal ,…に等しい
equator （the ～）,赤道
equipment,装置
equivalent,等しい
era,時代
erect,…を建てる
error,間違い
erupt,噴火する
escape,逃れる
especially,特に
essay,作文
essential,必要不可欠な
establish,…を設立する
estate,遺産
esteem,尊敬の念
estimate,見積もり
eternal,永遠の
ethnic,民族の
evasion,回避
event,催し物
eventually,最終的に
evidence,証拠
evident,明らかな
evil,悪の
evolve,発達する
ex-,前の
exactly,まさしく
exaggerate,…を誇張する
exam,試験
examination,試験
examine,…を調べる
example,例
exceed,…を越える
excellent,素晴らしい
except,…を除いて
exceptional,例外的な
excess,過剰
excessive,過剰な
exchange,交換
exchange,…を交換する
excite,…を興奮させる
excited,興奮した
exclaim,叫ぶ
exclude,…を除外する
exclusively,もっぱら
excuse,言い訳
execute,…を処刑する
executive,重役
exercise,運動
exhaust,…を使い果たす
exhausted,くたくたに疲れた
exhibit,…を表に出す
exhibition,展示会
exist,存在する
existence,生存
expand,…を拡大する
expect,を予期する
expedition,探検旅行
expel,…を追放する
expenditure,歳出
expense,費用
expensive,高価な
experience,経験
experienced,経験を積んだ
experiment,実験
expert,専門家
explain,説明する
exploit,…を搾取する
explorer,探検家
explosion,爆発
export,…を輸出する
express,…を表現する
expression,表現
exquisite,実に見事な
extend,…を伸ばす
extensive,広範囲の
extent,程度
extinction,絶滅
extra,余分の
extract,…を引き出す
extraordinary,すごい
extreme,極度の
extremely,極度に
,
,
fable,寓話
face ,…に面する
facility,施設
faction,派閥
factor,要素
factory,工場
faculty,能力
Fahrenheit,華氏
fail,うまく機能しない
failure,失敗，停止
fair,公正な
fairly,まずまず
faith,信頼
fake,偽物
fall,…になる
fame,有名であること
familiar,馴染みのある
famine,飢饉
far-reaching,広範囲にわたる
fare,料金
farewell,お別れ
fascinated,魅了された
fatal,致命的な
fate,運命
fatigue,疲労
fault,（失敗の）責任，欠点
favor,（親切心から）人にする行為
favorable,好都合な
favorite,最も気に入っている
FBI,米国連邦捜査局
feat,偉業
feature,特徴
fee,謝礼
feeble,弱々しい
feed,…に食べ物を与える
fellow,同僚の
female,雌の
feminist,男女同権主義の
festival,お祭り
feudal,封建制の
fiance,婚約者
field,畑
fierce,激しい
fight,…を戦う
fighter,戦闘機
figure,数字
fill,…を満たす
film,映画
finally,最後には
financial,金融の
fine ,…に罰金を課す
finger,指
fire ,…を首にする
fire engine,消防車
firearm,小型の火器
firm ,しっかりとした
firm ,会社
fiscal,財政上の
fisherman,漁師
fit ,体調がよい，適している
fit ,サイズが…に合う
fix,…を修理する
flat tire,パンクしたタイヤ
flatly,きっぱりと
flatter,…にお世辞を言う
flip,ひっくり返る
float,浮かぶ
flood,洪水
flourish,繁盛する
flow,流れる
flu,インフルエンザ
fluently,流暢に
fly,飛行機で行く
focus,焦点
fog,霧
fold,…を折りたたむ
folk,民衆の
follow,…に続く
following ,次の
following,…の後に
foolish,愚かな
for ,というのは…だからだ
for sure,確実な
forbid,…を禁ずる
force,…に強制する
forecast,予測
forecaster,予報士
forehead,額（ひたい）
foreign,外国の
foreman,工場長
foresee,…を予知・予見する
forgive,…を許す
form ,（書き込み）用紙
form ,…を形作る
formal,公式な
former,以前の
former （the ～）,前者
formerly,以前は
formidable,非常に手強い
formula,（数学・化学の）式
fortunate,幸運な
fortune,富
fortune-teller,占い師
forward,前方へ
foster,育ての，里親の
foul,汚い
found,…を設立する
founder,創始者
fragile,脆弱な
frantic,狂乱した
fraud,不正
freedom,自由
freeway,高速道路
freeze,凍る
freight,貨物
frequently,頻繁に
fresh,新たな
freshman,新入生
friction,摩擦
friendly,友好的な
frighten,…を怖がらせる
frightened,怖がっている
frown,顔をしかめる
frustrated,不満である
fuel,燃料
fulfill,…を果たす
full,完全な
full-time,全時間勤務の
fully,完全に
function,機能
fund,基金
fundamental,基本的な
funny,面白い
furious,かんかんに怒った
furnish,…に備え付ける
furniture,家具
further,さらに先へ，それ以上の
furthermore,その上さらに
futile,無駄な
,
,
gain,…を得る
gamble,ギャンブルをする
gangster,ギャングの一員
garbage,ゴミ
gather,…を集める
gaze,じっと見つめる
gene,遺伝子
general ,将軍
general ,全般的・一般的な
general manager,部長，室長，支店長
general public （the ～）,一般大衆
generally,一般的に
generate,…を生み出す
generation,世代
genetic,遺伝子の
genius,天才
gentle,温厚な
genuine,本物の
geographical,地理的な
geography,地理（学）
get,…になる
giant,巨人
gifted,天賦の才能がある
glad,嬉しい
global,地球の
globe （the ～）,地球
gloomy,暗い
glory,栄華
go,…になる
goal,目標
good,利益
good-natured,人の良い
goods,商品
goodwill,善意
gorgeous,豪華な
govern,…を統治する
government,政府
governor,知事
grab,…をつかむ
grade,成績
gradual,徐々の
graduate,卒業する
grain,穀物，穀物の粒
grant,助成金
grasp,…をしっかりとつかむ
grateful,感謝している
gratitude,感謝の気持ち
grave,非常に深刻な
gravity,重力
great grandfather,曾祖父
greet,…を出迎える
greeting,挨拶
grief,深い悲しみ
grieve,ひどく悲しむ
grim,いかめしい
grin,にっこり笑う
groan,うめく
groom,花婿
gross,甚だしい
ground,根拠，理由
grow,…になる
grown-up,大人
growth,成長
grudge,恨み
grumble,愚痴を言う
guarantee,…を保証する
guard,警備員
guess,…を推測する
guest,客
guest worker,外国人労働者
guilty,有罪である
gulp,一気に飲むこと
gunboat,戦艦
guy,男
gymnast,体操選手
habit,習慣
hand ,…を手渡す
handle,…を扱う
hangover,二日酔い
harass,…をしつこく困らせる
harbor,港
hard-working,勤勉な
hardly,ほとんど…なく
hardship,苦難
harm,危害
harsh,厳しい
harvest,収穫
haste,急ぐこと
hastily,急いで
hate,…が大嫌いだ
hatred,強い嫌悪
head ,向かう
headquarters,本部，本社
heal,治る
health care,医療
healthy,健康な
heat,暑さ
heater,暖房機
heavily,（量・程度が）大きく
heavy,量が多い
heir,相続人
hence,それゆえに
herbal,薬草の
heredity,遺伝
heritage,文化的な遺産
heroic,英雄的な
hesitate,ためらう
hesitation,ためらい
hide,…を隠す
high-calorie,高カロリーの
high-ranking,高い階級の
highly,とても
hijacker,ハイジャック犯
hinder,…を妨げる
hire,…を雇う
historian,歴史家
historic,歴史的に重要な
hold,（会などを）開く
home,自宅へ
homeland,祖国
homeless,ホームレスの
homework,宿題
honest,正直な
honestly,正直に
horizon,地平線
horrible,ひどい
horror,ぞっとする思い
hostage,人質
hostile,敵意のある
hostility,敵意
House (the ～ ),（米国の）下院
household,所帯の
housewife,主婦
housework,家事
however ,しかし
however ,どれだけ…でも
huge,巨大な
human,人間の
humble,控えめな
humid,湿度の高い
humiliate,…に恥をかかせる
hunt,狩りをする，捜す
hurry,急ぐこと
hydrogen,水素
hymn,賛美歌
hypocrisy,偽善
hypothesis,仮説
,
,
i.e.,すなわち
ideal,理想的な
ignorance,無知
ignore,…を無視する
illegal,違法な
illness,病気
illustrate,…を具体的に説明する
imaginary,架空の
imaginative,想像力豊かな
imagine,…を想像する
imitate,…をまねる
immediate,即座の
immediately,ただちに
immense,巨大な
immigrant,移民
imperial,帝国の
implement,…を実行する
implication,（将来的な）影響
implicit,暗にほのめかされた
imply,…をほのめかす
import ,輸入
import ,…を輸入する
importance,重要性
impose,…を課す
impossible,不可能な
impress,…を感心させる
impression,印象
impressive,素晴らしい
improve,…を改善する
improvement,改善
imprudent,賢明でない
impulse,衝動
incentive,刺激
incident,事件
inclined,傾いた
including,…を含め
income,収入
increase ,…を増加させる
increase ,増加
incredible,信じられない
indeed,実のところ
independence,独立
independent,独立した
indicate,…を示す
indifferent,無関心である
indignant,憤慨した
indispensable,必要不可欠な
induce,…を引き起こす
indulge,…を甘やかす
industrial,産業の，工業の
industry,産業，業界
inevitable,避けられない
infant,幼児
inferior,劣っている
infinite,無限の
inflexible,融通の利かない
influence,影響
inform,…に知らせる
information,情報
informer,情報提供者
ingenious,創意工夫のある
inherit,…を相続する
initial,当初の
injection,注射
injure,…を傷つける
injury,負傷
injustice,不公正
innocent,無実の
innovative,革新的な
innumerable,数え切れないほど多くの
inquire,尋ねる
inquiry,問い合わせ
insane,気が狂った
insect,昆虫
insist,主張・要求する
inspire,…を生じさせる
install,…を取り付ける
instead,その代わりに
instinct,本能
institute,研究所
institution,機関
instruct,…に指示する
instruction,指示
instrument,道具，計器
insult,侮辱
insurance,保険
intellectually,知的・知能面で
intelligence,知能
intend,…を意図する
intensely,激しく
intention,意志
interest,利子
interfere,干渉する
internal,内部の
international,国際的な
Internet,インターネット
interpreter,通訳者
interrupt,…の邪魔をする
intersection,交差点
intervene,介入する
interview ,面接
interview ,…にインタビューをする
intimidate,…を威嚇する
introduce,…を導入する，…紹介する
intrude,侵害する
intuition,直感
invade,…に侵入する
invent,…を発明する
invest,投資する
investigate,調査する
invisible,目に見えない
involve,…を巻き込む
irony,皮肉
irrigation,灌漑
irritated,いらだった
island,島
isolated,孤立した
issue,問題
item,項目
ivory,象牙
,
,
janitor,用務員
Japanese （the ～）,日本人
jealous,うらやんでいる
jewel,宝石
join,…に加わる
joy,喜び
joyful,とても楽しい
judge ,裁判官
judge ,判断する
judicial,司法の
jury,陪審（員団）
just ,公正な
justify,…を正当化する
juvenile,青少年の
delinquent,法律違反者
,
,
keen,関心が強い
kid ,子供
kid ,からかう
kidnapper,誘拐犯
kindergarten,幼稚園
kingdom,王国
kitten,子猫
knee,ひざ
knowledge,知識
,
,
labor,労働
laboratory,実験室
lack,欠如
lament,嘆く
lamppost,街灯柱
land,土地
landowner,地主
landscape,風景
language,言語
lapel,前襟の折り返し
late,亡くなった，遅くまで
lately,最近
latest,最新の
latter,後者
launch,打ち上げ
laundry,洗濯物
lava,溶岩
law,法律
lawmaker,立法府の議員
lawyer,弁護士
lay,…を横たえる
lazy,怠惰な
leadership,指導陣，指導力
leak,漏れる
leap,跳ぶ
learn,…を知る
least,最小限
least,最も…でない
leave,…を…のままにしておく
lecture,講義
lecturer,（大学の）講師
leg,脚
legend,伝説
legislation,法律
legitimate,合法な
lend,…に…を貸す
length,長さ
less,より…でない，より少ない
liar,嘘つき
licens,免許（証）
lie ,嘘
lie ,横たわる
lift,…を持ち上げる
light ,…に火をつける
likely,可能性が高い
likewise,同様に
limited,限られた
limo,リムジン
linguistic,言語の
liquid,液体
literary,文学の
literature,文学
lively,元気の良い
living,生きている
lizard,トカゲ
load ,荷物
load ,…に積む
lobby,玄関広間
local,地方の
locally,当地で
locate,（建物などを）置く
lonely,孤独な
long ,長い間
long-term,長期にわたる
longevity,長寿
loose,ぐらぐらした
Lord,（キリスト教の）主
lose,…を失う，（試合に）負ける
loss,失うこと
loud,大きな音・声で
loudly,大きな音・声で
low,低い
lower ,…を下げる
loyal,忠実な
luggage,荷物
lumber,木材
lung,肺
luxury,贅沢（品）
,
,
machinery,機械類
mad,頭がおかしい
magazine,雑誌
magnitude,規模
mail,…を投函する
main,主要な
mainly,主に
maintain,…をだと主張する，…を維持する
majestic,威厳のある
major ,主要な
major ,専攻する
majority,大半
male,男
malicious,悪意のある
malpractice,医療過誤
mammal,ほ乳動物
management,経営（陣）
manager,課長，部長
manner,やり方，作法
... mannered,…に振る舞っている
mansion,大邸宅
manual,手引き書
manually,手動で
manufacture,…を製造する
manufacturer,製造業者
march,行進
margin,差
market,市場
marriage,結婚
marry,…と結婚する
Mars,火星
marvelous,素晴らしい
masses （the ～）,大衆
massive,巨大な
master,修士号
masterpiece,傑作
match ,試合
match ,…に合う
material,材料
matter ,事柄，（問題の）原因
matter ,重要である
maximum,最大限［最高］の
maybe,たぶん
mayor,市長
meal,食事
mean ,意地悪な
mean ,…を意味する
meaning,意味
means,手段
measure,措置
medical,医学の
medicine,薬，医学
medieval,中世の
Mediterranean,地中海
meek,おとなしくて従順な
meet,（要求を）満たす
memorial,記念碑
memorize,…を記憶する
memory,記憶（力）
mend,…を直す
mental,精神［心］の，知的な
mention,…について言及する
merchandise,商品
merchant,商人
mercy,慈悲
mere,単なる
merely,単に
merry,楽しい
mess （a ～）,散らかった状態
method,手法
micro-,ミクロの
microscope,顕微鏡
microwave (oven),電子レンジ
middle-aged,中年の
midnight,午前零時
might,…かもしれない
mildly,穏やかに
military,軍隊の
mill,製造所
million,百万
millionaire,百万長者
mind,…に差し支えがある，…に気をつける
miner,鉱山労働者
minister,大臣
ministry,省
minor,重要でない
minority,少数派
minute ,非常に細かな
mischievous,いたずら好きな
miserable,悲惨な
misery,悲惨な状態
misfortune,不運
misgiving,心配
miss,…に乗り遅れる
missing,行方不明の
missionary,宣教師
mistake,間違い
mistaken,間違った
mob,群衆
mobile phone,携帯電話
mock,…を馬鹿にする
mode,方法
moderate,適度な
modest,並の
modify,…を修正する
mom,ママ
moment,瞬間
monarch,君主
monotonous,単調な
monster,化け物
moral,道徳規準
moreover,その上さらに
mortgage,（住宅）ローン
most,極めて
most （代名詞）,大半
mostly,大部分は，大半は
motorcycle,バイク
motorist,車の運転者
mountaineer,登山家
move,引っ越しをする
mph,時速…マイル
Mr. Right,理想の男性
Ms.,…さん
mud,泥
multimedia,マルチメディア
multinational,多国籍の
multiply,…を掛ける［乗ずる］
multitude,多数
municipal,地方自治体の
murder,殺人
murmur,つぶやく
muscle,筋肉
muse,思いにふける
Muslim,イスラム教徒
mustn't,…してはいけない
mutter,つぶやく
mutual,相互の
mysterious,不思議な
mystery,謎，ミステリー
myth,神話
,
,
naked,裸の
namely,つまり
narrow-minded,心の狭い
nasty,ひどい
nation,国家，国民
nationwide,全国規模の
native,生まれ故郷の
natural,当然である
natural resources,天然資源
naughty,やんちゃな
navy,海軍
nearly,ほぼ
necessarily,必然的に
necessity,必要性
needs,必要なもの，ニーズ
needy,困窮した
negative,マイナスの
neglect,…を怠る
negotiation,交渉
negotiator,交渉（担当）者
neighbor,近所の人
neighborhood,近所，特定の地区
neither,どちらも…ない
nerve,神経
nervous,緊張して
neutral,中立の
nevertheless,それにもかかわらず
New Year,正月，新年
newly,新しく
nightmare,悪夢
nobody,誰も…ない
none,どれ［誰］も…ない
nor,また…も～ない
normally,通常は
note,メモ
noted,有名な
notice,気づく
notify,…に知らせる
notion,考え
notwithstanding,…にもかかわらず
novel ,新奇な
novel ,小説
nowadays,近頃では
nuance,微妙な差異
nuclear,核（兵器）の
nuisance,迷惑
numerous,多数の
nurse,看護士
obey,…に従う
object ,物体
object ,反対の意思を表す
objective,目的
obligation,義務
oblige,…に余儀なくさせる
obliged,ありがたく思う
obscure,あまり知られていない
observe,…を目にする，…だと述べる，…を守る
obsession,取り憑かれていること
obstacle,障害
obstinate,頑固な
obstruct,…をふさぐ
